# timestamp tx ty tz qx qy qz qw
1773115274.895615101 15.199214931 20.438130345 -0.050514962 -0.091984939 -0.029584963 0.965693188 -0.241039764
1773115274.999982119 15.271315149 20.466120583 -0.038753869 -0.096169246 -0.019584496 0.965020398 -0.243112229
1773115275.112066746 15.336740961 20.478095955 -0.032602403 -0.089381987 -0.028867342 0.965660653 -0.242233442
1773115275.232894659 15.391665597 20.478113003 -0.027105530 -0.085493437 -0.032427199 0.964801432 -0.246571583
1773115275.424253702 15.442196543 20.476396178 -0.018887021 -0.087957311 -0.016786265 0.963083012 -0.253875648
1773115275.443225384 15.468316938 20.460232615 -0.016837838 -0.083454773 -0.020507455 0.963437834 -0.253776054
1773115275.502072573 15.483630638 20.438559094 -0.016803427 -0.073920559 -0.030148144 0.966308487 -0.244693171
1773115275.606503248 15.493856172 20.411683395 -0.020219462 -0.065370626 -0.033681087 0.969677745 -0.233060802
1773115275.711655855 15.504068413 20.378790674 -0.028283389 -0.052844726 -0.033815406 0.973644421 -0.219272650
1773115275.814024925 15.512064414 20.340088218 -0.040177438 -0.044783279 -0.035170002 0.977580854 -0.202714587
1773115275.920654297 15.522222597 20.300984480 -0.050537528 -0.044848900 -0.035409565 0.982007244 -0.179990307
1773115276.011299372 15.529681799 20.257561924 -0.053184471 -0.055955832 -0.046526373 0.985201104 -0.155187067
1773115276.152955770 15.543550440 20.212022083 -0.043300592 -0.074706823 -0.051538810 0.986187762 -0.138550856
1773115276.213313341 15.551997354 20.162068080 -0.023642095 -0.084014669 -0.046239902 0.986717493 -0.131118250
1773115276.317405224 15.558174070 20.105331197 -0.007897911 -0.084861090 -0.041048580 0.987558494 -0.125864332
1773115276.401738882 15.567319210 20.043803415 0.001053223 -0.081951572 -0.035386548 0.988417096 -0.122732947
1773115276.505228758 15.581364852 19.981794502 0.006357106 -0.078548933 -0.030925067 0.989379511 -0.118329574
1773115276.605246305 15.598954992 19.921180429 0.014996339 -0.079051499 -0.028132223 0.989908759 -0.114193206
1773115276.706540108 15.618375830 19.863632115 0.031587376 -0.082273821 -0.021023340 0.990264831 -0.110293251
1773115276.808645725 15.622785549 19.805899557 0.053959540 -0.087088979 -0.017429730 0.989717103 -0.112123908
1773115276.961871862 15.621279436 19.752501544 0.070187959 -0.086314901 -0.011464420 0.989959194 -0.111351242
1773115277.005678654 15.605117915 19.696969831 0.084465769 -0.083872249 -0.012268113 0.989816122 -0.114363383
1773115277.104090214 15.580575625 19.639448728 0.088716251 -0.082189260 -0.017796978 0.988710461 -0.124015392
